Date,Location / Operator,Aircraft Type / Registration,Fatalities
13-Sep-78,"Whittier, AK
Alaska Travel","de Havilland DHC-2
N37741",6/6(0)
14-Sep-78,"Paranaque, Philippines
Philippine Air Force","Fokker F-27 Friendship 200
PH-FKY",21/28(12)
25-Sep-78,"San Diego, California
Pacific Southwest Airlines / Private","Boeing B-727-214 / Cessna 172
N533PS/N7711G",137/137(7)
3-Oct-78,"Near Kuopio, Finland
Military - Finish Air Force","Douglas C-47A-1-DK
DO-10",15/15(0)
3-Oct-78,"Near Mandalay, Myanmar
Burma Airways","Fokker F-27 Friendship 600
XY-ADY",2/44(0)
6-Oct-78,"Santiago de Chile, Chile
Military - US Navy","Douglas R6D-1 (DC-6)
131618",18/18(?)
7-Oct-78,"Sverdlovsk, Russia
Aeroflot","Yakovlev YAK-40
CCCP-87437",38/38(0)
8-Oct-78,"Kenai, Alaska
Era Helicopter - Air Taxi","Bell 205-1
N2215W",2/7(0)
22-Oct-78,"Off Bellona, Solomon Islands
Solomon Islands Airlines","Britten Norman BN-2A Trislander
H4-AAC",11/11(0)
23-Oct-78,"Gulf of Sivash, USSR
Aeroflot","Antonov AN-24B
CCCP-46327",26/26(0)
5-Nov-78,"Off Alexandria, Egypt
Nile Delta Air Services","Douglas DC-3
SU-AZM",18/18(0)
15-Nov-78,"Near Katunayake, Sri Lanka
Loftleidir Icelandic Airlines","McDonnell Douglas DC-8-Super 63CF
TF-FLA",183/262(0)
18-Nov-78,"Off Marie Galante Island, West Indies
Air Guadeloupe","de Havilland Canada DHC-6 Twin Otter 300
F-OGHD",15/20(0)
19-Nov-78,"Near Leh, India
Military - Indian Air Force","Antonov An-12
?",77/77(1)
21-Nov-78,"Near Rubio, Venezuela
Aereo el Venado","Douglas C-47A
HK-1393",27/27(0)
25-Nov-78,"Hydaburg, Alaska
Tyee Airlines","de Havilland DHC-2
N37906",5/5(0)
4-Dec-78,"Near Steamboat Springs, Coloado
Rocky Mountain Airways","de Havilland Canada DHC-6 Twin Otter 300
N25RM",2/22(0)
16-Dec-78,"Selvapiana, Italy
Air 70","Cessna 421 Golden Eagle
I-ASON",10/10(0)
17-Dec-78,"Hyderabad, India
Indian Airlines","Boeing B-737-2A8
VT-EAL",1/132(3)
23-Dec-78,"Off Cinisi, Sicily, Italy
Alitalia","McDonnell Douglas DC-9-32
I-DIKQ",108/129(0)
28-Dec-78,"Portland, Oregon
United Air Lines","McDonnell Douglas DC-8-61
N8082U",10/189(0)
15-Jan-79,"Minsk, Russia
Aeroflot","Antonov AN-24N
CCCP46807",13/13(0)
24-Jan-79,"Bechar, Algeria
Air Algerie","Nord 262A-44
7T-VSU",14/23(0)
27-Jan-79,"Rodez, France
Air Rouergue","Fokker F-27 Friendship 500
F-BYAH",5/6(0)
30-Jan-79,"125 miles ENE of Tokyo, Japan
Varig","Boeing B-707-326C
PP-VLU",6/6(0)
8-Feb-79,"Near Agudos, Brazil
TAM Lineas Aéreas Regional","Embraer 110C Bandeirante
PP-SBB",18/18(0)
12-Feb-79,"Near Kariba, Rhodesia
Air Rhodesia","Vickers Viscount 748D
VP-YND",59/59(0)
12-Feb-79,"Clarksburg, West Virginia
Allegheny Airlines","Nord 262
N29824",2/25(0)
17-Feb-79,"Manakau Harbor, New Zealand
Air New Zealand","Fokker F-27 Friendship 500
ZK-NFC",2/4(0)
19-Feb-79,"Barentu, Ethiopia
Ethiopian Airlines","Douglas DC-3
ET-AFW",5/5(0)
1-Mar-79,"Gulfport, Mississippi
Universal Airways","Beech BE-70
N777AE",8/8(0)
10-Mar-79,"Off Marina del Rey, California
Swift Aire Lines Inc.","Aerospatiale Nord 262A-33
N418SA",3/7(0)
14-Mar-79,"Bejing, China
CAAC","Hawker Siddeley Trident 2E
B-274",12/12(32)
14-Mar-79,"Near Doha Airport, Qatar
Alia Royal Jordanian Airlines","Boeing B-727-2D3
JY-ADU",45/64(0)
17-Mar-79,"Near Moscow, Russia
Aeroflot","Tupolev TU-104B
CCCP-42444",58/119(0)
26-Mar-79,"Luanda, Angola
Interflug","Ilyushin IL-18D
DM-STL",10/10(0)
29-Mar-79,"Ste. Foy, PQ, Canada
Quebecair","Fairchild F-27
CF-QBL",17/24(0)
14-Apr-79,"Off Avalon, California
Catalina Airlines","Grumman G-21 Goose
N11CS",1/11(0)
18-Apr-79,"Newark, New Jersey
New York Airways","Sikorsky S61-L
N618PA",3/18(0)
23-Apr-79,"Near Cuenca, Ecuador
SAETA","Vickers Viscount 785D
HC-AVP",57/57(0)
25-May-79,"Bullen Point, Alaska
Sea Airmotive","de Havilland Canada DHC-4A Caribou
N581PA",3/3(0)
25-May-79,"Chicago O'Hare, Illinois
American Airlines","McDonnell Douglas DC-10-10
N110AA",271/271(2)
27-May-79,"Off Dakar, Senegal
Military - Mauritanian Air Force","de Havilland Canada DHC-5D Buffalo
5T-MAX",12/12(0)
30-May-79,"Rockland, Maine
Downeast Airlines","de Havilland DHC-6-200
N68DE",17/18(0)
7-Jun-79,"Near Leh, India
Military - Indian Air Force","Hindustan Aeronautics 748-2M
H2178",27/27(0)
17-Jun-79,"Hyannis, Massachusetts
Air New England","de Havilland Canada DHC-6 Twin Otter 300
N383EX",1/10(0)
11-Jul-79,"Near Medan Airfield, Indonesia
Garuda Indonesia Airlines","Fokker F-28 Fellowship 1000
PK-GVE",61/61(0)
12-Jul-79,"Bua, Fiji
Fiji Air Services","Britten Norman BN-2A Trislander
DQ-FBO",9/9(0)
12-Jul-79,"Anchorage, Alaska
Soldotna Air Services","Cessna 402B
N402TH",7/7(0)
23-Jul-79,"Beirut, Lebanon
Trans Mediterranean Airways","Boeing 707-327C
OD-AFX",6/6(0)
24-Jul-79,"St. Croix, Virgin Islands
Prinair","de Havilland DH-114 Heron
N575PR",8/21(0)
31-Jul-79,"Off Sumburgh, Shetlands, Scotland
Dan Air Services","Hawker Siddeley HS-748-1
G-BEKF",17/47(0)
2-Aug-79,"Canton, Ohio
Private","Cessna 501 Citation
N15NY",1/3(0)
3-Aug-79,"Leningrad, USSR
Aeroflot","LET 410M turbojet
CCCP-67206",14/14(0)
4-Aug-79,"Near Panvel, India
Indian Airlines","Hindustan Aeronautics 748 2-224
VT-DXJ",45/45(0)
11-Aug-79,"Near Volgograd, Russia
Aeroflot / Aeroflot","Tupolev TU-134A / Tupolev Tu-134A
65735/65816",178/178(0)
24-Aug-79,"Near Enisseysk, USSR
Aeroflot","Antonov AN-12
CCCP-12963",11/16(0)
29-Aug-79,"Near Kirsanov, Russia
Aeroflot","Tupolev TU-124
CCCP-45038",63/63(0)
3-Sep-79,"Andema, Russia
Aeroflot","Antonov AN-24
CCCP-46269",40/44(0)
11-Sep-79,"Off Taipei, Taiwan
China Airlines (Taiwan)","Boeing 707-324C
B-1834",6/6(0)
14-Sep-79,"Near Klamath Falls, Oregon
Butler Aviation Inc.","Douglas DC-7
N455SW",12/12(0)
14-Sep-79,"Near Sarroch, Italy
Aero Transporti Italiani","McDonnell Douglas DC-9-32
I-ATJC",31/31(0)
18-Sep-79,"Blink Horn Point, Canada
Pacific Coastal Airlines","Britten Norman BN-7A lslander
C-FZVV",4/9(0)
19-Sep-79,"Merced, California
Military - U.S. Air Force","Boeing KC-135A
58-0127",5/5(0)
30-Sep-79,"Porpoise Bay, British Columbia Canada
West Coast Air","de Havilland Canada DHC-6 Twin Otter 200
C-FWAF",2/16(0)
7-Oct-79,"Athens, Greece
Swissair","McDonnell Douglas DC-8-62
HB-IDE",14/156(0)
8-Oct-79,"Covington, Kentucky
Comair","Piper PA-31
N6642L",8/8(0)
27-Oct-79,"Lensk, Russia
Aeroflot","Antonov An-2TP
CCCP-32322",3/12(0)
31-Oct-79,"Mexico City, Mexico
Western Airlines","McDonnell Douglas DC-10-10
N903WA",72/88(1)
15-Nov-79,"Near Chicago, Illinois
American Airlines","Boeing B-727
?",0/78(0)
16-Nov-79,"Vologda, Russia
Aeroflot","Yakovlev YAK-40
CCCP-87454",3/5(0)
18-Nov-79,"Granger, Utah
Transamerica Airlines","Lockheed L-188CF Electra
N859U",3/3(0)
26-Nov-79,"Near At Ta'if, Jeddah, Saudi Arabia
Pakistan International Airlines","Boeing B-707-340C
AP-AWZ",156/156(0)
28-Nov-79,"Near Mt. Erebus, Ross Ice Shelf, Antarctica
Air New Zealand","McDonnell Douglas DC-10-30
ZK-NZP",257/257(0)
30-Nov-79,"San Andres Island, Colombia
Aerolineas La Gaviola","Grumman G-21 Goose
HK-2059",9/9(0)
9-Dec-79,"Cherskiy, Russia
Aeroflot","Antonov AN-26
CCCP-26547",7/7(0)
12-Dec-79,"Apolo, Bolivia
CAMBA","Martin 404
CP-1440",10/11(0)
18-Dec-79,"Cerro Toledo Mountain, Colombia
SATENA","Douglas DC-4 (C-54)
FAC-1106",21/21(0)
22-Dec-79,"Near Puerto Esperanza, Peru
Fuerza Aérea del Peru","de Havilland Canada DHC-5 Buffalo
FAP-348",29/29(0)
23-Dec-79,"Ankara, Turkey
Turkish Airlines (THY)","Fokker F-28 Fellowship 1000
TC-JAT",41/45(0)
23-Dec-79,"Menari, Papua New Guinea
Douglas Airways","GAF Nomad 22B
P2-DNL",16/16(0)
2-Jan-80,"Haiti
Haïti Air Inter","Britten Norman BN Islander
HH-CNC",9/9(0)
11-Jan-80,"Over the Atlantic Ocean
Private charter","Cessna 441 Conquest
N442NC",2/2(0)
14-Jan-80,"Shungnak, Alaska
Ambler Air Service","Cessna 185A
N1690Z",7/9(0)
21-Jan-80,"Elburz Mtns., near Tehran, Iran
Iran Air","Boeing B-727-86
EP-IRD",128/128(0)
23-Jan-80,"Mt. Cemonyet, Indonesia
Pelita Air Service","CASA 212 Aviocar 100
PK-PCX",13/13(0)
24-Jan-80,"Near Mandalay, Burma
Military - Union of Burma Air Force","Fairchild FH-227H
5003",43/44(0)
3-Feb-80,"Baracoa, Cuba
Cubana de Aviacon","Yakovlev YAK-40
CU-T1219",1/37(0)
21-Feb-80,"Leeville, Louisiana
Rotor Airs Inc - Air Taxi","Sikorsky S-62A
N442Y",6/7(0)
21-Feb-80,"Sydney, NSW, Australia
Advance Airlines","Beechcraft Super King Air 200
VH-AAV",13/13(0)
22-Feb-80,"Near Agra, India
Military - Indian Air Force","Fairchild C-119G
?",46/47(1)
27-Feb-80,"Manila, Philippines
China Airlines (Taiwan)","Boeing B-707-309C
B-1826",2/135(0)
14-Mar-80,"Near Warsaw, Poland
LOT Polish Airlines","Ilyushin IL-62
SP-LAA",87/87(0)
14-Mar-80,"Near Yenice, Turkey
Military - U.S. Air Force","Lockheed C-130H
74-2064",18/18(0)
21-Mar-80,"Houston, Texas
Eagle Commuter","Piper PA-28-180
N55932",7/10(0)
21-Mar-80,"Off Macae, Brazil
VOTEC","Sikorsky S-76
PT-HKB",14/14(0)
12-Apr-80,"Florianopolis, Brazil
Transbrasil","Boeing B-727-27C
PT-TYS",55/58(0)
14-Apr-80,"Krasnoyarsk, Russia
Aeroflot","Antonov An-24B
CCCP-47732",2/53(0)
24-Apr-80,"Posht-i-Badam, Iran
Military - U.S. Air Force","Lockheed EC-130E Hercules
62-1809",5/7(0)
25-Apr-80,"Tenerife, Canary Islands
Dan Air Services","Boeing B-727-64
G-BDAN",146/146(0)
27-Apr-80,"Don Muang, Thailand
Thai Airways","Hawker Siddeley HS-748-2
HS-THB",44/53(0)
2-Jun-80,"Near Yachiba, Bolivia
Lloyd Aereo Boliviano","Fairchild F-27J
CP-1117",13/13(0)
8-Jun-80,"Near Matala, Angola
Lineas Aereas de Angola","Yakovlev YAK-40
D2-TYC",29/29(0)
12-Jun-80,"Near Dushanbe, Russia
Aeroflot","Yakovlev YAK-40
CCCP-87689",29/29(0)
12-Jun-80,"Valley, Nebraska
Air Wisconsin","Swearingen 226TC Metro II
N6505",13/15(0)
27-Jun-80,"Tyrrhenian Sea, off Ustica, Italy
Itavia","McDonnell Douglas DC-9-15
I-TIGI",81/81(0)
8-Jul-80,"Near Alma-Ata, Kazakhstan, USSR
Aeroflot","Tupolev TU-154B
CCCP-85355",166/166(0)
1-Aug-80,"Cerro Lilio, Mexico
Aeronaves del Peru","Douglas DC-8-43F
OB-R-1143",3/7(0)
6-Aug-80,"Houma, Louisiana
Air Logistics","Bell 205A-1 helicopter
N95AL",13/13(0)
7-Aug-80,"Nouadhibou, Mauretania
Tarom","Tupolev TU-154B-1
YR-TPH",1/168(0)
19-Aug-80,"Riyadh, Saudi Arabia
Saudi Arabian Airlines","Lockheed 1011-200 TriStar
HZ-AHK",301/301(0)
26-Aug-80,"Near Jakarta, Indonesia
Bouraq Indonesia Airlines","Vickers Viscount 812
PK-IVS",37/37(0)
5-Sep-80,"Near Montelimar, France
Military - Kuwait Air Force","Lockheed L-100-20 Hercules
KAF317",8/8(0)
10-Sep-80,"Puerto Olaya, Colombia
Aeronorte Colombia","Douglas C-47
HK-329",3/3(0)
12-Sep-80,"Off Freeport, Bahamas
Florida Commuter Airlines","Douglas DC-3
N75KW",34/34(0)
14-Sep-80,"Kindu, Zaire
Military - Force Aérienne Zaïroise","Lockheed Hercules C-130
9T-TCE",36/36(0)
15-Sep-80,"Near Medina, Saudi Arabia
Military - Royal Saudi Air Force","Lockheed C-130E
453",89/89(0)
17-Sep-80,"Near Kindu, Zaire
Military - Zairean Air Force","de Havilland DHC-5 Buffalo
9T-CBA",36/36(0)
30-Sep-80,"Badakshan, Afghanistan
Military - Soviet Air Force","Antonov AN-12V
CCCP-11104",45/45(0)
12-Nov-80,"Near Cairo, Egypt
Military - U.S. Air Force","Lockheed C-141A
67-0030",13/13(0)
19-Nov-80,"Seoul, South Korea
Korean Airlines","Boeing B-747-2B5B
HL-7445",15/226(0)
24-Nov-80,"Near Medellin, Colombia
F.R. de la Direccion General de Ados","Douglas C-47A-35-DL
HK-1221G",20/20(0)
28-Nov-80,"Pecos City, Texas
Central Air Services","Douglas DC-7B
N816D",2/2(0)
5-Dec-80,"Dar es Salaam, Tanzania
Tanzania Aviation","Piper PA-42 Cheyenne
5H-TAL",10/10(0)
21-Dec-80,"Near Rio Hacha, Colombia
Transportes Aereos del Caribe","Aerospatiale Caravelle 6R
HK-1810",70/70(0)
23-Dec-80,"Qatar, Qatar
Saudi Arabian Airlines","Lockheed L-1011-200
HZ-AHJ",2/291(0)
14-Jan-81,"Ramstein AFB, West Germany
Military - U.S. Air Force","Lockheed C-130E Hercules
69-6581",11/11(0)
20-Jan-81,"Spokane, Washington
Cascade Airways","Beechcraft 99A
N390CA",7/9(0)
7-Feb-81,"Near Leningrad, Russia
Military - Soviet Navy","Tupolev TU-104A
CCCP-42332",52/52(0)
11-Feb-81,"White Plains, New York
Private - Corporate","Lockheed 1339
N520S",8/8(0)
22-Feb-81,"Avalon, California
Helicopter - Air Taxi","Sikorsky S-62A
N324Y",2/8(0)
24-Feb-81,"Belem, Brazil
VOTEC","Embraer 110P Bandeirante
PT-GLB",11/14(0)
26-Feb-81,"Off Tabones Island Philippines
Military - U.S. Air Force","Lockheed MC-130E-Y
64-0564",23/24(0)
10-Mar-81,"Moroni, Comoro Islands
Military - French Naval Aviation","Dassault-Breguet Atlantique
29",18/18(0)
15-Mar-81,"Shemya AFB, Alaska
Military - U.S. Air Force","Boeing RC-135S
61-2664",6/24(0)
26-Mar-81,"Redzikowo, Poland
LOT Polish Airlines","Antonov AN-24B
SP-LTU",1/52(0)
6-Apr-81,"Laguna Soliz, Bolivia
Urcupina","Douglas C-47A
CP-1470",7/7(0)
7-Apr-81,"Cincinnati, Ohio
Freedom International","Learjet 23
N400PG",1/2(0)
17-Apr-81,"Loveland, Colorado
Air US / Private","Hadley Page 137Jetstream I / Cessna 206
N11360 / N4862F",15/19(0)
28-Apr-81,"Pekanbaru, Indonesia
Private - Airfast Indonesia","Douglas C-47A-5-DK
PK-OBK",15/17(0)
28-Apr-81,"Batagay, Russia
Aeroflot","Antonov An-2TP
CCCP-92864",12/12(0)
6-May-81,"Near Fredrick, Maryland
Military - U.S. Air Force","Boeing EC-135N
61-0328",21/21(0)
7-May-81,"Rio de la Plata, Argentina
Austral Lineas Aeras (Argentina)","BAC One-Eleven 529FR
LV-LOX",31/31(0)
16-May-81,"Near Menongue, Angola
TAAG Angola Airlines","Lockheed L-100-20 Hercules
D2-EAS",4/4(0)
21-May-81,"Pinarete Mountain, Mexico
Lineas Aereas","Convair CV-440-11
XA-KEH",24/24(0)
22-May-81,"Near Zumba, Ecuador
TAME","de Havilland Canada DHC-6 Twin Otter 300
HC-BAX",18/18(0)
29-May-81,"Cairo, Egypt
Military - Egyptian Air Force","Lockheed C-130H Hercules
SU-BAH",17/17(0)
14-Jun-81,"Ust-Barguzin, Russia
Aeroflot","Ilyushin Il-14
CCCP-41838",48/48(0)
26-Jun-81,"Nailstone, England
Dan Air Services","Hawker Siddeley HS-748
G-ASPL",3/3(0)
18-Jul-81,"Near Yerevan, Armenia
TAR","Canadair CL-44D4-6
LV-JTN",4/4(0)
20-Jul-81,"Mogadishu, Somalia
Somali Airlines","Fokker F-27 Friendship 600RF
6O-SAY",50/50(0)
24-Jul-81,"Madagascar
Air Madagascar","de Havilland Canada DHC-6 Twin Otter 300
5R-MGB",19/19(0)
25-Jul-81,"Caruru, Colombia
Transamazonica","Douglas C-53D-DO
HK- 772",5/9(0)
27-Jul-81,"Chihuahua, Mexico
Aeromexico","McDonnell Douglas DC-9-32
XA-DEN",32/66(0)
22-Aug-81,"Near Sanyi, Miao-li, Taiwan
Far Eastern Air Transport","Boeing B-737-222
B-2603",110/110(0)
24-Aug-81,"Near Zavitinsk, Russia
Aeroflot / Military - Russian Air Force","Antonov AN-24RV / Soviet Air Force TU-16
CCCP-46653",31/32(0)
27-Aug-81,"Mt. Elena, Colombia
Aeropesca Colombia","Vickers Viscount 745D
HK-1320",50/50(0)
29-Aug-81,"Zeya, Russia
Aeroflot","Yakovlev YAK-40
CCCP-87346",3/34(0)
2-Sep-81,"Paipa, Colombia
Aereo el Venado","Embraer 110P1 Bandeirante
HK-2651",21/22(0)
18-Sep-81,"Zeleznogorsk, Russian
Aeroflot /Military - Russian","Yakovlev YAK-40 / Mil Mi-8
CCCP-87455",40/40(0)
21-Sep-81,"Nellis AFB, Nevada
Military - U.S. Air Force","Lockheed C-130H Hercules
74-1672",7/70(0)
22-Sep-81,"Near Babaeski, Turkey
Military - Turkish Air Force","Northrop F-5A
?",0/0(40)
29-Sep-81,"Tehran, Iran
Military - Iranian Air Force","Lockheed C-130H
5-158-8552",60/80(20)
1-Oct-81,"Casper, Wyoming
Sky Train Air","Learjet 24
N44CJ",3/3(0)
6-Oct-81,"Moerdijk, Netherlands
NLM (Nederlandse Luchtvaart Maatschappij)","Fokker F-28 Fellowship 4000
PH-CHI",17/17(0)
15-Oct-81,"Kufstein, Austria
Oefag Flugdienst","Cessna 404 Titan
OE-FCT",9/9(0)
26-Oct-81,"St. Thomas, U.S. Virgin Islands
Aerolineas Argo","Lockheed L-749A Constellation
HI-328",5/5(0)
31-Oct-81,"Bafoussam, Cameroon
Cameroon Airlines","de Havilland Canada DHC-6 Twin Otter 300
TJ-CBC",1/24(0)
8-Nov-81,"Sierra de Guerro, Mexico
Aeromexico","McDonnell Douglas DC-9-32
XA-DEO",18/18(0)
16-Nov-81,"Norilsk, Russia
Aeroflot","Tupolev TU-154B-2
CCCP-85480",99/167(0)
19-Nov-81,"Biratnagar, Nepal
Royal Nepal Airlines","Pilatus PC-6/B2-H2 Turbo-Porter
9N-ABJ",10/10(0)
30-Nov-81,"Castries, Saint Lucia Island
Guyana Airways","Douglas DC-6A
N3486F",3/3(0)
1-Dec-81,"Mt. San Pietro, near Ajaccio, Corsica, France
Inex Adria Aviopromet (Yugoslavia)","McDonnell Douglas MD-81
YU-ANA",180/180(0)
5-Dec-81,"Honolulu, Hawaii
Private - Parajump air show","Beech C-45H
N8185H",11/12(0)
16-Dec-81,"Kuala Belait, Brunei
Bristow Helicopters","Aerospatiale Puma
9M-SSC",12/12(0)
18-Dec-81,"Near Covenas, Colombia
ACES Colombia","de Havilland Canada DHC-6 Twin Otter 300
HK-2217",13/13(0)
7-Jan-82,"Near Gelendzhik, USSR
Aeroflot","LET 410M Turbojet
CCCP-67290",18/18(0)
13-Jan-82,"Washington, D.C.
Air Florida","Boeing B-737-222
N62AF",74/79(4)
14-Jan-82,"Near Addis Ababa, Ethiopia
Military - Ethiopian Air Force","Antonov AN-26
71383",73/73(0)
23-Jan-82,"Logan Airport, Boston, Massachusetts
World Airways","McDonnell Douglas DC-10-30CF
N113WA",2/212(0)
25-Jan-82,"Constanta, Romania
Tarom","Antonov An-24RV
YR-BMD",7/7(0)
3-Feb-82,"Djibouti, Djbouti
Military - French Air Force","Nord 2501 Noratlas
140/88JA",35/35(0)
6-Feb-82,"Island of Cheju, South Korea
Military - Republic of South Korea Air Force","Fairchild C-123
?",53/53(0)
7-Feb-82,"Near Srinagar, India
Military - Indian Air Force","Fairchild C-119G
?",23/23(0)
9-Feb-82,"Mt. Ipao, Philippines
Trans Air Services","Douglas DC-3 (C-47A-70-DL)
RP-C141",3/32(0)
9-Feb-82,"Tokyo, Japan
Japan Air Lines","McDonnell Douglas DC-8-61
JA-8061",24/174(0)
19-Feb-82,"Cerro el Tablazo, Colombia
LAC Columbia","Douglas DC-6BF
HK-1706",4/4(0)
21-Feb-82,"Providence, Rhode Island
Pilgrim Airlines","de Havilland DHC -6-100
N127PM",1/12(0)
11-Mar-82,"Mehamn, Norway
Wideroe's Flyveselksap","de Havilland Canada DHC-6 Twin Otter 300
LN-BNK",15/15(0)
19-Mar-82,"Near Woodstock, Illinois
Military - U.S. Air Force","Boeing KC-135C
58-0031",27/27(0)
19-Mar-82,"Leesburg, Florida
Private","Beechcraft Bonanza F35
N567LT",3/3(0)
20-Mar-82,"Branti Airport, Indonesia
Garuda Indonesia Airlines","Fokker F-28 Fellowship 1000
PK-GVK",27/27(0)
26-Mar-82,"Queate, Colombia
Aeropesca Colombia","Vickers Viscount 745D
HK-2382",21/21(0)
11-Apr-82,"Near Tanana, Alaska
Air Taxi - Tundra Copters","Hughes 369D
N11058",3/3(0)
13-Apr-82,"Near Erzurum, Turkey
Military - U.S. Air Force","Lockheed C-130H
74-1678",27/27(0)
26-Apr-82,"Near Yangshuo, Guangxi, China
CAAC","Hawker Siddeley Trident 2E
B-266",112/112(0)
30-Apr-82,"Gulf of Thailand
Okanagan Helicopters","Sikorsky S-76
C-GIMF",13/13(0)
9-May-82,"Off Aden, Yemen
Alyemda","de Havilland Canada DHC-7-103
7O-ACK",47/49(0)
12-May-82,"Judsonia, Arkansas
Military - U.S. Air Force","Lockheed C-130E Hercules
64-0543",7/7(0)
19-May-82,"South Atlantic Ocean
Military - Royal British Navy","Westland Sea King HC-4 (helicopter)
ZA-294",21/30(0)
25-May-82,"Brazilia, Brazil
VASP","Boeing B-737-200
PP-SMY",2/118(0)
28-May-82,"Off Natuma Island, Indonesia
Pelita Air Service","Aerospatiale 330G Puma
PK-PDU",10/10(0)
1-Jun-82,"Near Songnam-si, South Korea
Military - Republic of South Korea Air Force","Fairchild C-123
56-4391",53/53(0)
8-Jun-82,"Near Pacatuba, Brazil
VASP","Boeing B-727-212A
PP-SRK",137/137(0)
12-Jun-82,"Tabatinga, Brazil
TABA","Fairchild-Hiller FH-227B-LCD
PT-LBV",44/44(0)
22-Jun-82,"Bombay, India
Air India","Boeing B-707-437
VT-DJJ",17/111(0)
24-Jun-82,"Mount Galunggung, Indonesia
British Airways","Boeing B-747
G-BDXH",0/257(0)
28-Jun-82,"Southern Belarus, USSR
Aeroflot","Yakovlev YAK-42
CCCP-42529",132/132(0)
3-Jul-82,"Oganda, Gabon
Air Affaires Gabon","Cessna 404 Titan
TR-LYQ",12/12(0)
6-Jul-82,"Near Moscow, Russia
Aeroflot","Ilyushin IL-62M
CCCP-86513",90/90(0)
9-Jul-82,"Kenner, Louisiana
Pan American World Airways","Boeing B-727-235
N4737",145/145(8)
11-Jul-82,"Jolo, Philippines
Philippine Air Lines","Hawker Siddeley HS-748-209 Srs. 2
RP-C1014",4/30(0)
23-Jul-82,"Castaic, California
Western Helicopter","Bell UH-1B Huey Helicopter
N87701",0/1(3)
11-Aug-82,"Pacific Ocean
Pan American World Airways","Boeing B-747-121
N754PA",1/285(0)
12-Aug-82,"Mindat, Myanmar
Burma Airways","de Havilland Canada DHC-6 Twin Otter 300
XY-AEB",8/8(0)
14-Aug-82,"Near Managua, Nicaragua
Military - Nicaraguan Air Force","Arava 201
223",20/20(0)
14-Aug-82,"Sukhumi, Georgia, USSR
Aeroflot / Aeroflot","Let 410UVP Turbojet / Tupolev TU-134V
67191 / 65836",11/11(0)
1-Sep-82,"Near Valladolid, Ecuador
Aerolineas Condor","de Havilland Canada DHC-4A Caribou
HC-BHZ",44/44(0)
4-Sep-82,"Rio Branco, Brazil
Cia Brasiliera de Tratores","Gates Learjet 25B
PT-JBQ",10/10(0)
11-Sep-82,"Near Mannheim, West Germany
Military - U.S. Army","Boeing Vertol CH-47C (helicopter)
74-22292",46/46(0)
13-Sep-82,"Near Malaga, Spain
Spantax","McDonnell Douglas DC-10-30CF
EC-DEG",50/394(0)
29-Sep-82,"Luxembourg, Luxembourg
Aeroflot","Ilyushin IL-62M
CCCP-86470",7/77(0)
17-Nov-82,"Off Taiwan
Far Eastern Air Transport","Bell 212
B-2311",15/15(0)
29-Nov-82,"Lubango, Angola
TAAG Angola Airlines","Antonov AN-26
D2-TAB",15/15(0)
29-Nov-82,"Quetame, Colombia
Aerolineas Centrales de Colombia","de Havilland Canada DHC-6 Twin Otter 310
HK-2536",22/22(0)
7-Dec-82,"Near Pueblo, Colorado
Pioneer Airlines","Swearingen SA.227AC Metro III
N30093",2/2(0)
9-Dec-82,"La Serena, Chile
Aeronor Chile","Fairchild F-27J
CC-CJE",46/46(0)
9-Dec-82,"Near San Andres de Bocay, Nicaragua
Military - Nicaraguan Air Force","Mil Mi-8 (helicopter)
265",84/88(0)
23-Dec-82,"Rostov-on-Don, Russia
Aeroflot","Antonov AN-26
CCCP-26627",16/16(0)
24-Dec-82,"Guangzhou, China
CAAC","Ilyushin IL-18B
B-202",25/69(0)
9-Jan-83,"Brainerd, Minnesota
46826/109","Convair 580-11A
N844H",1/33(0)
11-Jan-83,"Detroit, Michigan
United Air Lines","McDonnell Douglas DC-8-54F37
N8053U",3/3(0)
16-Jan-83,"Ankara, Turkey
Turkish Airlines (THY)","Boeing B-727-2F2
TC-JBR",47/67(0)
13-Feb-83,"Fayetteville, North Carolina
Military - U.S. Air Force","Lockheed C-130H Hercules
74-1693",6/6(0)
9-Mar-83,"Off Macae, Brazil
Aeroleo Taxi Aereo","Bell 212
PT-HJN",11/11(0)
10-Mar-83,"Near Shach Goan, Afghanistan
Bakhtar Afghan Airlines","de Havilland Canada DHC-6 Twin Otter 300
YA-GAZ",19/19(0)
11-Mar-83,"Barquisimeto Venezuela
Avensa","McDonnell Douglas DC-9-32
YV-67C",23/50(0)
30-Mar-83,"Newark, New Jersey
Central Airlines","Learjet 25
N51CA",2/2(0)
7-Apr-83,"Selawik, Alaska
Munz Northern Airlines","Britten-Norman BN-2A-8 Islander
N37MN",2/3(0)
16-Apr-83,"Near Khartoum, Sudan
Air Liberia","Hawker Siddeley HS-748-329 Srs. 2A
EL-AIH",8/9(9)
19-Apr-83,"Leninakan, Russia
Aeroflot","Yakovlev YAK-40
CCCP-87291",21/21(0)
19-Apr-83,"Near Toba, Japan
Military - Japan Air Self-Defence Force","Kawasaki C-1 / Kawasaki C-1
58-1009/68-1015",14/14(0)
26-Apr-83,"Iwakuni AB, Japan
Military - Japan Maritime Self Defense Force","Shin Meiwa PS-1
5801",11/14(0)
